Year,TTV (Billion $),Revenue,Underlying EBITDA,Underlying EBITDA Margin (%),Profit After Tax (PAT),Net Margin (%),Scenario
2025,24.885,2846285.4,509500.81350000005,17.900552541217408,148182.2709067648,5.206163475622115,Conservative
2026,26.129250000000003,2988599.6700000004,542447.3533500001,18.150552541217408,157764.38140420613,5.278873011593624,Conservative
2027,27.435712500000005,3138029.6535000005,577414.7951512502,18.400552541217408,167934.24727412465,5.351582547565133,Conservative
2025,25.531363636363633,2920214.8909090906,522734.60086363635,17.900552541217408,152031.16106018727,5.206163475622115,Moderate
2026,27.50424173553718,3145867.859752065,570992.3987615701,18.150552541217408,166066.36942884972,5.278873011593624,Moderate
2027,29.629569506010505,3388957.648914724,623586.9327881599,18.400552541217408,181362.866083694,5.351582547565132,Moderate
2025,26.07,2981822.8,533762.757,17.900552541217408,155238.56952137264,5.206163475622114,Optimistic
2026,28.677000000000003,3280005.0800000005,595339.0454000002,18.150552541217408,173147.3029470199,5.278873011593625,Optimistic
2027,31.544700000000006,3608005.588000001,663892.9639100003,18.400552541217408,193085.3973625828,5.351582547565132,Optimistic
